id;dish_name;meal_category;protein_main;vegetables;starches;sauce;dairy;protein_category;nutriscore_calculated;Price
400;Lentils with buttery mashed potatoes, fried peppers & fried eggplant;Vegetarian;lentils;fried peppers | fried eggplant;buttery mashed potatoes;cream sauce;cream cheese;Vegetarian;D;5.30
401;Duck in cream sauce over cheesy potatoes;Poultry;duck;fried peppers | mushrooms;cheesy potatoes;cream sauce;blue cheese;Poultry;D;5.00
402;Pork belly with garlic butter noodles and bell peppers;Red meat;pork belly;bell peppers | kale | celery;garlic butter noodles;honey mustard;heavy cream;Red meat;D;5.30
403;Creamy veal with buttery mashed potatoes, celery, beetroot & mushrooms;Red meat;veal;celery | beetroot | mushrooms;buttery mashed potatoes;alfredo sauce;heavy cream;Red meat;D;5.00
404;Tangy Trout with creamed spinach & creamy pasta;Fish;trout;creamed spinach | fried peppers | celery;creamy pasta;butter sauce;parmesan;Fish;D;5.50
405;Creamy Chickpeas with asparagus & mac and cheese;Vegetarian;chickpeas;asparagus | green beans | buttered corn;mac and cheese;four cheese sauce;gouda;Vegetarian;D;5.40
406;Turkey in bbq sauce over buttery mashed potatoes;Poultry;turkey;mushrooms | fried onions;buttery mashed potatoes;bbq sauce;blue cheese;Poultry;D;5.30
407;Tuna with loaded fries, zucchini & fried peppers;Fish;tuna;zucchini | fried peppers;loaded fries;alfredo sauce;blue cheese;Fish;D;5.00
408;Sesame Paneer over butter rice;Vegetarian;paneer;bell peppers | peas;butter rice;bbq sauce;heavy cream;Vegetarian;D;5.10
409;Cheese omelette with cheesy potatoes, broccoli & creamed spinach;Vegetarian;cheese omelette;broccoli | creamed spinach;cheesy potatoes;four cheese sauce;cheddar;Vegetarian;D;5.30
410;Creamy black beans with cheesy potatoes, fried peppers & cauliflower;Vegetarian;black beans;fried peppers | cauliflower;cheesy potatoes;cream sauce;cream cheese;Vegetarian;D;5.30
411;Fried chicken with cheesy potatoes, sweet corn & creamed spinach;Poultry;fried chicken;sweet corn | creamed spinach;cheesy potatoes;bbq sauce;blue cheese;Poultry;D;5.30
412;Chickpeas with loaded fries, roasted garlic, asparagus & cabbage;Vegetarian;chickpeas;roasted garlic | asparagus | cabbage;loaded fries;butter sauce;cream cheese;Vegetarian;D;5.30
413;Veal with mac and cheese and tomatoes;Red meat;veal;tomatoes | carrots;mac and cheese;ranch sauce;blue cheese;Red meat;D;5.40
414;Smoky Roasted ham over fried rice;Red meat;roasted ham;carrots | fried peppers | zucchini;fried rice;cream sauce;blue cheese;Red meat;D;5.40
415;Tuna with loaded fries, fried peppers & cauliflower;Fish;tuna;fried peppers | cauliflower;loaded fries;four cheese sauce;blue cheese;Fish;D;5.30
416;Paneer in cheese sauce over cheesy potatoes;Vegetarian;paneer;carrots | beetroot;cheesy potatoes;cheese sauce;blue cheese;Vegetarian;D;5.50
417;Mediterranean Turkey over cheesy potatoes;Poultry;turkey;onions | mushrooms | zucchini;cheesy potatoes;bbq sauce;cream cheese;Poultry;D;5.10
418;Roasted whitefish over fried rice;Fish;whitefish;asparagus | broccoli | fried peppers;fried rice;butter sauce;gouda;Fish;D;5.00
419;Anchovies creamy pasta plate;Fish;anchovies;onions | beetroot | sweet corn;creamy pasta;alfredo sauce;parmesan;Fish;D;5.10
420;Fried tofu with buttery mashed potatoes, celery & spinach;Vegetarian;fried tofu;celery | spinach;buttery mashed potatoes;bbq sauce;parmesan;Vegetarian;D;5.40
421;Zesty Fried fish with onions & mac and cheese;Fish;fried fish;onions | bell peppers;mac and cheese;cheese sauce;blue cheese;Fish;D;5.50
422;Chickpeas over mac and cheese;Vegetarian;chickpeas;celery | leeks;mac and cheese;four cheese sauce;blue cheese;Vegetarian;D;5.50
423;Fried fish with mac and cheese, beetroot & asparagus;Fish;fried fish;beetroot | asparagus;mac and cheese;cheese sauce;blue cheese;Fish;D;5.40
424;Smoky Pork belly over creamy pasta;Red meat;pork belly;spinach | asparagus | creamed spinach;creamy pasta;butter sauce;cream cheese;Red meat;D;5.20
425;Cod with fried rice, roasted garlic & creamed spinach;Fish;cod;roasted garlic | peas | creamed spinach;fried rice;butter sauce;gouda;Fish;D;5.10
426;Mediterranean Black beans over garlic butter noodles;Vegetarian;black beans;onions | sweet corn | mushrooms;garlic butter noodles;cream sauce;heavy cream;Vegetarian;D;5.10
427;Creamy Hake over butter rice;Fish;hake;beetroot | peas;butter rice;cheese sauce;cream cheese;Fish;D;5.10
428;Creamy tempeh with pasta, fried peppers & eggplant;Vegetarian;tempeh;fried peppers | fried eggplant;creamy pasta;alfredo sauce;blue cheese;Vegetarian;D;5.00
429;Tuna in four cheese sauce over loaded fries;Fish;tuna;kale | broccoli;loaded fries;four cheese sauce;cream cheese;Fish;D;5.20
430;Sausage and asparagus fried rice mix;Red meat;sausage;asparagus | leeks | mushrooms;fried rice;four cheese sauce;blue cheese;Red meat;D;5.20
431;Sesame Kidney beans bowl with eggplant;Vegetarian;kidney beans;eggplant | onions | tomatoes;loaded fries;ranch sauce;blue cheese;Vegetarian;D;5.20
432;Zesty Tempeh over buttery mashed potatoes;Vegetarian;tempeh;sweet corn | spinach;buttery mashed potatoes;four cheese sauce;heavy cream;Vegetarian;D;5.20
433;Mediterranean Smoked turkey with fried onions & garlic butter noodles;Poultry;smoked turkey;fried onions | sweet corn | caramelized onions;garlic butter noodles;butter sauce;heavy cream;Poultry;D;5.50
434;Herb Pork belly with creamed spinach & creamy pasta;Red meat;pork belly;creamed spinach | mushrooms;creamy pasta;ranch sauce;heavy cream;Red meat;D;5.50
435;Lentils with garlic butter noodles, leeks, fried eggplant & tomatoes;Vegetarian;lentils;leeks | fried eggplant | tomatoes;garlic butter noodles;bbq sauce;cheddar;Vegetarian;D;5.30
436;Buttery Pork over mac and cheese;Red meat;pork;fried peppers | cabbage;mac and cheese;butter sauce;blue cheese;Red meat;D;5.40
437;Chicken cheesy potatoes plate with beetroot;Poultry;chicken;beetroot | carrots | bell peppers;cheesy potatoes;bbq sauce;cream cheese;Poultry;D;5.50
438;Veal with garlic butter noodles, cauliflower, & eggplant ;Red meat;veal;cauliflower | eggplant | onions;garlic butter noodles;spicy mayo;cheddar;Red meat;D;5.40
439;Shrimp tempura & butter rice mix;Shellfish;shrimp tempura;peas | asparagus;butter rice;alfredo sauce;gouda;Shellfish;D;5.20
440;Lentils with creamy pasta and kale;Vegetarian;lentils;kale | caramelized onions | roasted garlic;creamy pasta;alfredo sauce;parmesan;Vegetarian;D;5.10
441;Cod with loaded fries, caramelized onions & zucchini;Fish;cod;caramelized onions | zucchini;loaded fries;bbq sauce;parmesan;Fish;D;5.40
442;Lentils with cheesy potatoes, celery, carrots & eggplant;Vegetarian;lentils;celery | carrots | eggplant;cheesy potatoes;spicy mayo;cheddar;Vegetarian;D;5.00
443;Seared tuna over cheesy potatoes;Fish;seared tuna;cauliflower | fried onions;cheesy potatoes;four cheese sauce;parmesan;Fish;D;5.40
444;Grilled Tempeh over garlic butter noodles;Vegetarian;tempeh;green beans | cabbage | broccoli;garlic butter noodles;alfredo sauce;parmesan;Vegetarian;D;5.50
445;Fried chicken over butter rice;Poultry;fried chicken;carrots | celery | sweet corn;butter rice;bbq sauce;cream cheese;Poultry;D;5.50
446;Veal and spinach cheesy potatoes mix;Red meat;veal;spinach | cauliflower | tomatoes;cheesy potatoes;honey mustard;gouda;Red meat;D;5.00
447;Tofu with butter rice, sweet corn & fried eggplant;Vegetarian;tofu;sweet corn | fried eggplant;butter rice;cheese sauce;gouda;Vegetarian;D;5.50
448;Paneer with creamy pasta & vegetables;Vegetarian;paneer;caramelized onions | bell peppers | eggplant;creamy pasta;butter sauce;cheddar;Vegetarian;D;5.10
449;Pork bowl with creamy pasta & vegetables;Red meat;pork;onions | bell peppers | peas;creamy pasta;honey mustard;cheddar;Red meat;D;5.30
450;Veal with butter rice, spinach & fried eggplant;Red meat;veal;spinach | fried eggplant | caramelized onions;butter rice;four cheese sauce;cream cheese;Red meat;D;5.10
451;Trout bowl with cheesy potatoes, leeks & asparagus;Fish;trout;leeks | asparagus;cheesy potatoes;four cheese sauce;gouda;Fish;D;5.00
452;Grilled Cod bowl with cabbage;Fish;cod;cabbage | green beans;loaded fries;butter sauce;cheddar;Fish;D;5.00
453;Hake cheesy potatoes plate with creamed spinach;Fish;hake;creamed spinach | green beans;cheesy potatoes;cream sauce;cheddar;Fish;D;5.20
454;Lentils in butter sauce over fried rice;Vegetarian;lentils;broccoli | cabbage | zucchini;fried rice;butter sauce;cream cheese;Vegetarian;D;5.20
455;Shrimp and buttered corn cheesy potatoes mix;Shellfish;shrimp;buttered corn | zucchini;cheesy potatoes;cheese sauce;cheddar;Shellfish;D;5.00
456;Salmon and roasted garlic buttery mashed potatoes mix;Fish;salmon;roasted garlic | fried peppers | onions;buttery mashed potatoes;spicy mayo;parmesan;Fish;D;5.20
457;Hake in cheese sauce over buttery mashed potatoes;Fish;hake;squash | creamed spinach | bell peppers;buttery mashed potatoes;cheese sauce;parmesan;Fish;D;5.10
458;Cheesy beef bowl ;Red meat;beef;zucchini | carrots | bell peppers;buttery mashed potatoes;four cheese sauce;gouda;Red meat;D;5.10
459;Shrimp loaded fries plate;Shellfish;shrimp;peas | bell peppers | roasted garlic;loaded fries;cheese sauce;heavy cream;Shellfish;D;5.20
460;Tangy Kidney beans with buttered corn & creamy pasta;Vegetarian;kidney beans;buttered corn | sweet corn;creamy pasta;cream sauce;blue cheese;Vegetarian;D;5.10
461;Pork garlic butter noodles plate with zucchini;Red meat;pork;zucchini | bell peppers;garlic butter noodles;four cheese sauce;blue cheese;Red meat;D;5.30
462;Salmon bowl with mac and cheese, onions & mushrooms;Fish;salmon;onions | mushrooms;mac and cheese;alfredo sauce;cheddar;Fish;D;5.40
463;Trout and buttery mashed potatoes mix;Fish;trout;celery | cabbage | asparagus;buttery mashed potatoes;cream sauce;cream cheese;Fish;D;5.20
464;Crispy Beef over butter rice;Red meat;beef;tomatoes | eggplant | celery;butter rice;butter sauce;cream cheese;Red meat;D;5.30
465;Seared tuna over buttery mashed potatoes;Fish;seared tuna;broccoli | beetroot;buttery mashed potatoes;honey mustard;cheddar;Fish;D;5.20
466;Herb Roasted ham over buttery mashed potatoes;Red meat;roasted ham;carrots | fried onions;buttery mashed potatoes;cream sauce;parmesan;Red meat;D;5.50
467;Shrimp with loaded fries and fried eggplant;Shellfish;shrimp;fried eggplant;loaded fries;alfredo sauce;parmesan;Shellfish;D;5.40
468;Cheese omelette and sweet corn butter rice mix;Vegetarian;cheese omelette;sweet corn | spinach | kale;butter rice;cream sauce;cream cheese;Vegetarian;D;5.30
469;Mackerel and bell peppers cheesy potatoes mix;Fish;mackerel;bell peppers | kale | cabbage;cheesy potatoes;honey mustard;parmesan;Fish;D;5.20
470;Shrimp with loaded fries & vegetables;Shellfish;shrimp;creamed spinach | broccoli | cauliflower;loaded fries;cream sauce;gouda;Shellfish;D;5.00
471;Zesty Black beans over creamy pasta;Vegetarian;black beans;fried onions | leeks | tomatoes;creamy pasta;butter sauce;heavy cream;Vegetarian;D;5.00
472;Roasted Fried tofu bowl with caramelized onions;Vegetarian;fried tofu;caramelized onions | leeks;buttery mashed potatoes;bbq sauce;cheddar;Vegetarian;D;5.30
473;Salmon mac and cheese plate with carrots;Fish;salmon;carrots | roasted garlic;mac and cheese;spicy mayo;blue cheese;Fish;D;5.20
474;Tempeh with loaded fries, peas & cauliflower;Vegetarian;tempeh;peas | onions | cauliflower;loaded fries;four cheese sauce;cream cheese;Vegetarian;D;5.10
475;Seared tuna fried rice plate with cabbage;Fish;seared tuna;cabbage | green beans;fried rice;butter sauce;cheddar;Fish;D;5.20
476;Beef garlic butter noodles plate with fried onions;Red meat;beef;fried onions | cauliflower | creamed spinach;garlic butter noodles;four cheese sauce;blue cheese;Red meat;D;5.20
477;Creamy Lamb bowl with caramelized onions;Red meat;lamb;caramelized onions | green beans;buttery mashed potatoes;alfredo sauce;blue cheese;Red meat;D;5.00
478;Seared tuna and spinach buttery mashed potatoes mix;Fish;seared tuna;spinach | fried eggplant | tomatoes;buttery mashed potatoes;cheese sauce;cheddar;Fish;D;5.40
479;Tangy Pork belly over butter rice;Red meat;pork belly;cabbage | broccoli;butter rice;ranch sauce;parmesan;Red meat;D;5.30
480;Creamy Turkey with zucchini & butter rice;Poultry;turkey;zucchini | celery;butter rice;four cheese sauce;gouda;Poultry;D;5.10
481;Seared tuna fried rice plate ;Fish;seared tuna;celery | squash | tomatoes;fried rice;spicy mayo;heavy cream;Fish;E;5.50
482;Mackerel with cheesy potatoes and sweet corn;Fish;mackerel;sweet corn | fried onions;cheesy potatoes;bbq sauce;gouda;Fish;E;5.50
483;Salmon in ranch sauce over mac and cheese;Fish;salmon;cabbage | caramelized onions | spinach;mac and cheese;ranch sauce;parmesan;Fish;E;5.20
484;Kidney beans garlic butter noodles plate with zucchini;Vegetarian;kidney beans;zucchini | broccoli | spinach;garlic butter noodles;honey mustard;heavy cream;Vegetarian;E;5.00
485;Bbq ribs with cheesy potatoes ;Red meat;bbq ribs;mushrooms | zucchini;cheesy potatoes;cream sauce;cream cheese;Red meat;E;5.10
486;Shrimp tempura with buttery mashed potatoes and squash;Shellfish;shrimp tempura;squash | creamed spinach;buttery mashed potatoes;honey mustard;gouda;Shellfish;E;5.50
487;Roasted Eggs with fried peppers & garlic butter noodles;Vegetarian;eggs;fried peppers | leeks;garlic butter noodles;cheese sauce;cream cheese;Vegetarian;E;5.20
488;Kidney beans and buttered corn loaded fries mix;Vegetarian;kidney beans;buttered corn | onions;loaded fries;four cheese sauce;cheddar;Vegetarian;E;5.20
489;Shrimp and tomatoes butter rice mix;Shellfish;shrimp;tomatoes | roasted garlic | beetroot;butter rice;cream sauce;cheddar;Shellfish;E;5.30
490;Pork belly in ranch sauce over cheesy potatoes;Red meat;pork belly;zucchini | kale | sweet corn;cheesy potatoes;ranch sauce;blue cheese;Red meat;E;5.10
491;Meatballs and loaded fries mix;Red meat;meatballs;carrots | green beans | zucchini;loaded fries;ranch sauce;gouda;Red meat;E;5.00
492;Tangy Mackerel bowl with asparagus;Fish;mackerel;asparagus | green beans;loaded fries;cheese sauce;cream cheese;Fish;E;5.30
493;Herb Black beans bowl with bell peppers;Vegetarian;black beans;bell peppers | broccoli;loaded fries;butter sauce;parmesan;Vegetarian;E;5.00
494;Meatballs in cream sauce over garlic butter noodles;Red meat;meatballs;carrots | eggplant | asparagus;garlic butter noodles;cream sauce;heavy cream;Red meat;E;5.20
495;Tangy Duck bowl with roasted garlic;Poultry;duck;roasted garlic | cauliflower | creamed spinach;buttery mashed potatoes;honey mustard;parmesan;Poultry;E;5.10
496;Shrimp tempura cheesy potatoes plate ;Shellfish;shrimp tempura;tomatoes | squash | asparagus;cheesy potatoes;bbq sauce;parmesan;Shellfish;E;5.10
497;Pork belly and beetroot mac and cheese mix;Red meat;pork belly;beetroot | mushrooms | kale;mac and cheese;cheese sauce;heavy cream;Red meat;E;5.30
498;Tuna loaded fries plate with tomatoes;Fish;tuna;tomatoes | cauliflower | fried onions;loaded fries;cream sauce;cream cheese;Fish;E;5.50
499;Sausage with mac and cheese and broccoli;Red meat;sausage;broccoli;mac and cheese;cheese sauce;parmesan;Red meat;E;5.10
500;Tofu fried rice plate with squash;Vegetarian;tofu;squash | tomatoes;fried rice;bbq sauce;heavy cream;Vegetarian;E;5.30
501;Kidney beans and mac and cheese mix;Vegetarian;kidney beans;beetroot | zucchini | onions;mac and cheese;ranch sauce;heavy cream;Vegetarian;E;5.10
502;Lentils in alfredo sauce over buttery mashed potatoes;Vegetarian;lentils;kale | sweet corn;buttery mashed potatoes;alfredo sauce;parmesan;Vegetarian;E;5.10
503;Pork with mac and cheese, beetroot & fried eggplant;Red meat;pork;beetroot | fried eggplant;mac and cheese;butter sauce;gouda;Red meat;E;5.00
504;Buttery Seitan with broccoli & mac and cheese;Vegetarian;seitan;broccoli | kale | peas;mac and cheese;cheese sauce;parmesan;Vegetarian;E;5.50
505;Kidney beans and zucchini buttery mashed potatoes mix;Vegetarian;kidney beans;zucchini | onions | kale;buttery mashed potatoes;ranch sauce;gouda;Vegetarian;E;5.50
506;Salmon with garlic butter noodles and fried eggplant;Fish;salmon;fried eggplant | green beans;garlic butter noodles;spicy mayo;heavy cream;Fish;E;5.30
507;Roasted ham in bbq sauce over loaded fries;Red meat;roasted ham;zucchini | onions;loaded fries;bbq sauce;cream cheese;Red meat;E;5.40
508;Zesty Meatballs bowl with creamed spinach;Red meat;meatballs;creamed spinach | fried onions | bell peppers;mac and cheese;four cheese sauce;cheddar;Red meat;E;5.20
509;Black beans and buttery mashed potatoes mix;Vegetarian;black beans;celery | buttered corn;buttery mashed potatoes;alfredo sauce;blue cheese;Vegetarian;E;5.00
510;Shrimp and zucchini cheesy potatoes mix;Shellfish;shrimp;zucchini | celery;cheesy potatoes;alfredo sauce;cheddar;Shellfish;E;5.20
511;Cheesy fried fish bowl with squash & spinach;Fish;fried fish;squash | spinach;garlic butter noodles;alfredo sauce;cheddar;Fish;E;5.10
512;Cheesy meatballs bowl with vegetables;Red meat;meatballs;spinach | peas | sweet corn;creamy pasta;four cheese sauce;cream cheese;Red meat;E;5.00
513;Tofu with butter rice, cauliflower & broccoli;Vegetarian;tofu;cauliflower | broccoli;butter rice;spicy mayo;cheddar;Vegetarian;E;5.40
514;Seared tuna in alfredo sauce over cheesy potatoes;Fish;seared tuna;beetroot | cabbage | zucchini;cheesy potatoes;alfredo sauce;cheddar;Fish;E;5.00
515;Cheese omelette and caramelized onions mac and cheese mix;Vegetarian;cheese omelette;caramelized onions | cauliflower;mac and cheese;alfredo sauce;blue cheese;Vegetarian;E;5.40
516;Smoked turkey and asparagus creamy pasta mix;Poultry;smoked turkey;asparagus | mushrooms;creamy pasta;bbq sauce;heavy cream;Poultry;E;5.50
517;Cheese omelette creamy pasta plate with broccoli;Vegetarian;cheese omelette;broccoli | roasted garlic;creamy pasta;alfredo sauce;gouda;Vegetarian;E;5.20
518;Grilled Shrimp bowl with mushrooms;Shellfish;shrimp;mushrooms | caramelized onions;buttery mashed potatoes;ranch sauce;gouda;Shellfish;E;5.50
519;Kidney beans with buttery mashed potatoes and carrots;Vegetarian;kidney beans;carrots | green beans;buttery mashed potatoes;spicy mayo;gouda;Vegetarian;E;5.00
520;Creamy calamari with pasta & vegetables;Shellfish;calamari;leeks | cabbage | tomatoes;creamy pasta;cheese sauce;cheddar;Shellfish;E;5.40
521;Cheesy lentils with vegetables & cheesy potatoes;Vegetarian;lentils;tomatoes | peas | cauliflower;cheesy potatoes;cheese sauce;heavy cream;Vegetarian;E;5.40
522;Sesame Bbq ribs bowl with eggplant;Red meat;bbq ribs;eggplant | mushrooms;fried rice;bbq sauce;gouda;Red meat;E;5.20
523;Whitefish bowl with cheesy potatoes & vegetables;Fish;whitefish;asparagus | onions | eggplant;cheesy potatoes;honey mustard;heavy cream;Fish;E;5.20
524;Sausage with garlic butter noodles & vegetables;Red meat;sausage;cauliflower | zucchini | cabbage;garlic butter noodles;cheese sauce;cheddar;Red meat;E;5.50
525;Fried tofu in ranch sauce over creamy pasta;Vegetarian;fried tofu;asparagus | cabbage;creamy pasta;ranch sauce;gouda;Vegetarian;E;5.10
526;Trout in cream sauce over cheesy potatoes;Fish;trout;asparagus | sweet corn | caramelized onions;cheesy potatoes;cream sauce;parmesan;Fish;E;5.10
527;Seitan in bbq sauce over mac and cheese;Vegetarian;seitan;mushrooms | asparagus;mac and cheese;bbq sauce;blue cheese;Vegetarian;E;5.10
528;Grilled Lentils over creamy pasta;Vegetarian;lentils;carrots | leeks | cauliflower;creamy pasta;ranch sauce;gouda;Vegetarian;E;5.20
529;Creamy paneer with butter rice & vegetables;Vegetarian;paneer;peas | onions | asparagus;butter rice;alfredo sauce;gouda;Vegetarian;E;5.10
530;Cod and leeks garlic butter noodles mix;Fish;cod;leeks | buttered corn | cabbage;garlic butter noodles;cheese sauce;cheddar;Fish;E;5.30
531;Trout fillet over creamy cheesy potatoes & roasted veggies;Fish;trout;roasted garlic | cabbage | eggplant;cheesy potatoes;butter sauce;gouda;Fish;E;5.00
532;Tempeh and cauliflower cheesy potatoes mix;Vegetarian;tempeh;cauliflower | kale | buttered corn;cheesy potatoes;ranch sauce;cheddar;Vegetarian;E;5.50
533;Steak strips and tomatoes fried rice mix;Red meat;steak strips;tomatoes | peas;fried rice;ranch sauce;cream cheese;Red meat;E;5.00
534;Buttery Seitan with fried eggplant & creamy pasta;Vegetarian;seitan;fried eggplant | zucchini | roasted garlic;creamy pasta;four cheese sauce;blue cheese;Vegetarian;E;5.00
535;Lamb in ranch sauce over butter rice;Red meat;lamb;bell peppers | cabbage;butter rice;ranch sauce;heavy cream;Red meat;E;5.00
536;Creamy Cheese omelette over garlic butter noodles;Vegetarian;cheese omelette;tomatoes | spinach;garlic butter noodles;alfredo sauce;blue cheese;Vegetarian;E;5.40
537;Mediterranean Fried tofu with roasted garlic & fried rice;Vegetarian;fried tofu;roasted garlic | celery | eggplant;fried rice;honey mustard;parmesan;Vegetarian;E;5.50
538;Pork with buttery mashed potatoes and asparagus;Red meat;pork;asparagus | green beans;buttery mashed potatoes;ranch sauce;cheddar;Red meat;E;5.40
539;Black beans in honey mustard over buttery mashed potatoes;Vegetarian;black beans;fried eggplant | mushrooms | kale;buttery mashed potatoes;honey mustard;heavy cream;Vegetarian;E;5.40
540;Duck in spicy mayo over fried rice;Poultry;duck;eggplant | creamed spinach;fried rice;spicy mayo;gouda;Poultry;E;5.50
541;Beef and buttered corn butter rice mix;Red meat;beef;buttered corn | carrots | broccoli;butter rice;bbq sauce;cream cheese;Red meat;E;5.00
542;Seitan with butter rice & fried peppers;Vegetarian;seitan;peas | fried peppers;butter rice;honey mustard;blue cheese;Vegetarian;E;5.50
543;Eggs in honey mustard over creamy pasta;Vegetarian;eggs;leeks | beetroot;creamy pasta;honey mustard;blue cheese;Vegetarian;E;5.30
544;Mediterranean Beef with sweet corn & fried rice;Red meat;beef;sweet corn | mushrooms;fried rice;cheese sauce;cheddar;Red meat;E;5.30
545;Buttery Calamari over fried rice;Shellfish;calamari;mushrooms | caramelized onions;fried rice;cheese sauce;heavy cream;Shellfish;E;5.50
546;Tangy Fried chicken with spinach & cheesy potatoes;Poultry;fried chicken;spinach | eggplant | roasted garlic;cheesy potatoes;cheese sauce;parmesan;Poultry;E;5.10
547;Creamy whitefish pasta with vegetables;Fish;whitefish;leeks | cauliflower | zucchini;creamy pasta;spicy mayo;gouda;Fish;E;5.30
548;Tempeh and creamed spinach cheesy potatoes mix;Vegetarian;tempeh;creamed spinach | kale;cheesy potatoes;cream sauce;gouda;Vegetarian;E;5.50
549;Lentils in ranch sauce over buttery mashed potatoes;Vegetarian;lentils;roasted garlic | creamed spinach | cabbage;buttery mashed potatoes;ranch sauce;blue cheese;Vegetarian;E;5.50
550;Tuna and mushrooms butter rice mix;Fish;tuna;mushrooms | sweet corn;butter rice;butter sauce;cream cheese;Fish;E;5.10
551;Crispy Mackerel over cheesy potatoes;Fish;mackerel;zucchini | cabbage;cheesy potatoes;alfredo sauce;gouda;Fish;E;5.10
552;Creamy chicken with butter rice & vegetables;Poultry;chicken;leeks | creamed spinach;butter rice;spicy mayo;parmesan;Poultry;E;5.20
553;Cod garlic butter noodles plate with caramelized onions;Fish;cod;caramelized onions | bell peppers;garlic butter noodles;butter sauce;parmesan;Fish;E;5.50
554;Smoky Anchovies over buttery mashed potatoes;Fish;anchovies;fried eggplant | bell peppers | tomatoes;buttery mashed potatoes;cream sauce;cheddar;Fish;E;5.50
555;Turkey and buttered corn buttery mashed potatoes mix;Poultry;turkey;buttered corn | squash;buttery mashed potatoes;honey mustard;gouda;Poultry;E;5.20
556;Hake cheesy potatoes plate with cauliflower;Fish;hake;cauliflower | spinach;cheesy potatoes;bbq sauce;parmesan;Fish;E;5.40
557;Roasted Meatballs over mac and cheese;Red meat;meatballs;fried onions | bell peppers;mac and cheese;honey mustard;cheddar;Red meat;E;5.20
558;Meatballs & spicy mayo over cheesy potatoes;Red meat;meatballs;squash | leeks | cabbage;cheesy potatoes;spicy mayo;gouda;Red meat;E;5.00
559;Mediterranean Mackerel with cabbage & creamy pasta;Fish;mackerel;cabbage | roasted garlic;creamy pasta;four cheese sauce;heavy cream;Fish;E;5.20
560;Cheesy crispy tempeh bowl;Vegetarian;tempeh;asparagus | buttered corn;creamy pasta;four cheese sauce;blue cheese;Vegetarian;E;5.30
561;Tuna in cheese sauce over creamy pasta;Fish;tuna;spinach | sweet corn;creamy pasta;cheese sauce;blue cheese;Fish;E;5.30
562;Herb Tuna bowl with bell peppers;Fish;tuna;bell peppers | tomatoes;fried rice;four cheese sauce;blue cheese;Fish;E;5.00
563;Shrimp tempura with fried rice and squash;Shellfish;shrimp tempura;squash | kale;fried rice;honey mustard;heavy cream;Shellfish;E;5.20
564;Shrimp tempura and fried peppers butter rice mix;Shellfish;shrimp tempura;fried peppers | beetroot | leeks;butter rice;cheese sauce;gouda;Shellfish;E;5.50
565;Fried tofu with fried rice and beetroot;Vegetarian;fried tofu;beetroot | buttered corn | spinach;fried rice;butter sauce;gouda;Vegetarian;E;5.10
566;Hake in cheese sauce over mac and cheese;Fish;hake;celery | creamed spinach;mac and cheese;cheese sauce;parmesan;Fish;E;5.20
567;Creamy black bean bowl with fried rice & eggplant;Vegetarian;black beans;green beans | fried eggplant;fried rice;cream sauce;gouda;Vegetarian;E;5.10
568;Creamy black bean & cheesy potato bowl with peas & asparagus;Vegetarian;black beans;peas | asparagus;cheesy potatoes;alfredo sauce;gouda;Vegetarian;E;5.30
569;Smoked turkey in cheese sauce over garlic butter noodles;Poultry;smoked turkey;broccoli | tomatoes | green beans;garlic butter noodles;cheese sauce;parmesan;Poultry;E;5.00
570;Creamy Fried tofu over mac and cheese;Vegetarian;fried tofu;spinach | caramelized onions;mac and cheese;honey mustard;blue cheese;Vegetarian;E;5.00
571;Lentils mac and cheese plate with tomatoes;Vegetarian;lentils;tomatoes | buttered corn | kale;mac and cheese;bbq sauce;parmesan;Vegetarian;E;5.30
572;Roasted ham and spinach mac and cheese mix;Red meat;roasted ham;spinach | cauliflower;mac and cheese;alfredo sauce;cheddar;Red meat;E;5.20
573;Crispy Trout bowl with squash;Fish;trout;squash | celery | bell peppers;butter rice;bbq sauce;cream cheese;Fish;E;5.50
574;Kidney beans and green beans buttery mashed potatoes mix;Vegetarian;kidney beans;green beans | buttered corn;buttery mashed potatoes;cream sauce;parmesan;Vegetarian;E;5.50
575;Fried fish with loaded fries and cauliflower;Fish;fried fish;cauliflower | leeks;loaded fries;alfredo sauce;heavy cream;Fish;E;5.30
576;Lentils with mac and cheese and mushrooms;Vegetarian;lentils;mushrooms | onions | caramelized onions;mac and cheese;spicy mayo;cheddar;Vegetarian;E;5.30
577;Trout and caramelized onions butter rice mix;Fish;trout;caramelized onions | cabbage;butter rice;cheese sauce;cream cheese;Fish;E;5.30
578;Shrimp tempura over butter rice;Shellfish;shrimp tempura;fried onions | fried peppers;butter rice;cream sauce;parmesan;Shellfish;E;5.30
579;Smoky Chickpeas with buttered corn & mac and cheese;Vegetarian;chickpeas;buttered corn | mushrooms | zucchini;mac and cheese;four cheese sauce;blue cheese;Vegetarian;E;5.00
580;Buttery duck bowl with vegetables;Poultry;duck;celery | fried eggplant | squash;butter rice;bbq sauce;gouda;Poultry;E;5.40
581;Fried fish in ranch sauce over loaded fries;Fish;fried fish;green beans | eggplant | fried onions;loaded fries;ranch sauce;blue cheese;Fish;E;5.20
582;Shrimp and asparagus cheesy potatoes mix;Shellfish;shrimp;asparagus | squash | peas;cheesy potatoes;four cheese sauce;blue cheese;Shellfish;E;5.20
